"origin_fips","dest_fips","num_migrants","m_i","m_j"
13,1,16672,9972479,4830081
12,1,12339,19545621,4830081
47,1,7097,6494340,4830081
48,1,6997,26480266,4830081
28,1,5857,2988711,4830081
37,1,3513,9843336,4830081
6,1,3255,38260787,4830081
51,1,2947,8252427,4830081
22,1,2511,4624527,4830081
39,1,2217,11576684,4830081
36,1,1959,19624447,4830081
17,1,2008,12895129,4830081
26,1,1933,9913065,4830081
45,1,1892,4764080,4830081
21,1,1874,4404659,4830081
18,1,1488,6568713,4830081
8,1,1355,5269035,4830081
29,1,1266,6040715,4830081
42,1,1057,12776309,4830081
53,1,1303,6963985,4830081
5,1,1097,2959400,4830081
4,1,938,6632764,4830081
24,1,951,5923188,4830081
40,1,869,3853214,4830081
34,1,649,8856972,4830081
20,1,792,2893212,4830081
15,1,825,1408243,4830081
55,1,540,5736754,4830081
25,1,470,6713315,4830081
32,1,517,2775970,4830081
2,1,512,737068,4830081
27,1,476,5413479,4830081
9,1,358,3594841,4830081
19,1,364,3092997,4830081
35,1,356,2092273,4830081
41,1,310,3922468,4830081
54,1,333,1853914,4830081
49,1,373,2897640,4830081
31,1,336,1865279,4830081
56,1,188,582122,4830081
30,1,173,1013569,4830081
38,1,154,722036,4830081
46,1,167,842316,4830081
33,1,138,1326622,4830081
23,1,129,1328009,4830081
11,1,92,650581,4830081
16,1,159,1611206,4830081
10,1,102,923576,4830081
44,1,85,1055081,4830081
50,1,60,626210,4830081
6,2,2853,38260787,737068
53,2,2889,6963985,737068
48,2,2632,26480266,737068
12,2,1568,19545621,737068
41,2,1241,3922468,737068
8,2,1238,5269035,737068
4,2,1131,6632764,737068
37,2,1294,9843336,737068
13,2,1065,9972479,737068
51,2,848,8252427,737068
36,2,628,19624447,737068
15,2,766,1408243,737068
32,2,564,2775970,737068
16,2,642,1611206,737068
26,2,498,9913065,737068
30,2,511,1013569,737068
17,2,472,12895129,737068
49,2,636,2897640,737068
42,2,441,12776309,737068
27,2,452,5413479,737068
40,2,581,3853214,737068
39,2,528,11576684,737068
29,2,491,6040715,737068
47,2,447,6494340,737068
55,2,356,5736754,737068
1,2,413,4830081,737068
22,2,406,4624527,737068
35,2,385,2092273,737068
45,2,400,4764080,737068
20,2,406,2893212,737068
24,2,313,5923188,737068
21,2,360,4404659,737068
25,2,225,6713315,737068
18,2,232,6568713,737068
56,2,247,582122,737068
34,2,212,8856972,737068
5,2,231,2959400,737068
28,2,247,2988711,737068
19,2,182,3092997,737068
46,2,167,842316,737068
23,2,173,1328009,737068
38,2,153,722036,737068
9,2,128,3594841,737068
31,2,149,1865279,737068
33,2,87,1326622,737068
54,2,91,1853914,737068
50,2,61,626210,737068
11,2,35,650581,737068
10,2,69,923576,737068
44,2,49,1055081,737068
6,4,37955,38260787,6632764
48,4,13649,26480266,6632764
17,4,9217,12895129,6632764
8,4,8816,5269035,6632764
53,4,8695,6963985,6632764
35,4,8923,2092273,6632764
12,4,5882,19545621,6632764
32,4,6507,2775970,6632764
36,4,4862,19624447,6632764
26,4,4745,9913065,6632764
49,4,5843,2897640,6632764
41,4,4258,3922468,6632764
27,4,4295,5413479,6632764
39,4,4118,11576684,6632764
55,4,3699,5736754,6632764
42,4,3356,12776309,6632764
51,4,3298,8252427,6632764
29,4,3085,6040715,6632764
37,4,3245,9843336,6632764
18,4,2836,6568713,6632764
13,4,3050,9972479,6632764
34,4,2208,8856972,6632764
19,4,1994,3092997,6632764
16,4,2407,1611206,6632764
20,4,2107,2893212,6632764
47,4,1986,6494340,6632764
25,4,1709,6713315,6632764
40,4,1936,3853214,6632764
24,4,1727,5923188,6632764
31,4,1596,1865279,6632764
2,4,1640,737068,6632764
15,4,1682,1408243,6632764
30,4,1492,1013569,6632764
46,4,1174,842316,6632764
38,4,1129,722036,6632764
56,4,1242,582122,6632764
9,4,1034,3594841,6632764
5,4,1134,2959400,6632764
45,4,1138,4764080,6632764
21,4,1112,4404659,6632764
22,4,1008,4624527,6632764
1,4,966,4830081,6632764
28,4,646,2988711,6632764
33,4,584,1326622,6632764
23,4,477,1328009,6632764
54,4,372,1853914,6632764
50,4,252,626210,6632764
44,4,297,1055081,6632764
11,4,213,650581,6632764
10,4,267,923576,6632764
48,5,11031,26480266,2959400
29,5,5686,6040715,2959400
40,5,5835,3853214,2959400
47,5,3539,6494340,2959400
6,5,3385,38260787,2959400
12,5,2617,19545621,2959400
22,5,2774,4624527,2959400
17,5,2170,12895129,2959400
28,5,2110,2988711,2959400
13,5,1459,9972479,2959400
20,5,1406,2893212,2959400
8,5,1159,5269035,2959400
37,5,1212,9843336,2959400
51,5,1049,8252427,2959400
1,5,960,4830081,2959400
26,5,901,9913065,2959400
4,5,901,6632764,2959400
39,5,824,11576684,2959400
36,5,697,19624447,2959400
53,5,754,6963985,2959400
18,5,724,6568713,2959400
55,5,665,5736754,2959400
21,5,658,4404659,2959400
42,5,558,12776309,2959400
27,5,580,5413479,2959400
19,5,581,3092997,2959400
45,5,505,4764080,2959400
32,5,428,2775970,2959400
31,5,446,1865279,2959400
34,5,414,8856972,2959400
35,5,384,2092273,2959400
24,5,365,5923188,2959400
41,5,340,3922468,2959400
25,5,244,6713315,2959400
2,5,294,737068,2959400
15,5,307,1408243,2959400
49,5,300,2897640,2959400
56,5,248,582122,2959400
30,5,200,1013569,2959400
9,5,184,3594841,2959400
38,5,205,722036,2959400
16,5,179,1611206,2959400
54,5,164,1853914,2959400
46,5,175,842316,2959400
33,5,83,1326622,2959400
11,5,59,650581,2959400
23,5,63,1328009,2959400
10,5,59,923576,2959400
44,5,41,1055081,2959400
50,5,34,626210,2959400
48,6,41344,26480266,38260787
36,6,26687,19624447,38260787
4,6,30216,6632764,38260787
53,6,28034,6963985,38260787
32,6,25733,2775970,38260787
12,6,23381,19545621,38260787
17,6,18919,12895129,38260787
41,6,15122,3922468,38260787
8,6,15681,5269035,38260787
51,6,16055,8252427,38260787
25,6,10635,6713315,38260787
13,6,11996,9972479,38260787
42,6,9969,12776309,38260787
34,6,10893,8856972,38260787
37,6,11980,9843336,38260787
15,6,9716,1408243,38260787
26,6,8589,9913065,38260787
39,6,8212,11576684,38260787
49,6,9946,2897640,38260787
24,6,7868,5923188,38260787
27,6,6474,5413479,38260787
29,6,6208,6040715,38260787
47,6,5562,6494340,38260787
18,6,5426,6568713,38260787
55,6,4944,5736754,38260787
9,6,4422,3594841,38260787
35,6,4807,2092273,38260787
16,6,4631,1611206,38260787
40,6,4429,3853214,38260787
20,6,4130,2893212,38260787
22,6,3748,4624527,38260787
45,6,3712,4764080,38260787
11,6,2529,650581,38260787
1,6,3007,4830081,38260787
2,6,2980,737068,38260787
5,6,3011,2959400,38260787
19,6,2624,3092997,38260787
21,6,2750,4404659,38260787
31,6,2342,1865279,38260787
30,6,1986,1013569,38260787
28,6,2254,2988711,38260787
33,6,1336,1326622,38260787
44,6,1324,1055081,38260787
56,6,1329,582122,38260787
23,6,952,1328009,38260787
46,6,1063,842316,38260787
38,6,1014,722036,38260787
10,6,970,923576,38260787
50,6,708,626210,38260787
54,6,761,1853914,38260787
6,8,19280,38260787,5269035
48,8,19130,26480266,5269035
12,8,9470,19545621,5269035
4,8,8881,6632764,5269035
17,8,6547,12895129,5269035
36,8,4936,19624447,5269035
35,8,5991,2092273,5269035
20,8,5072,2893212,5269035
53,8,4867,6963985,5269035
51,8,4770,8252427,5269035
56,8,4178,582122,5269035
37,8,4233,9843336,5269035
42,8,3650,12776309,5269035
29,8,3891,6040715,5269035
13,8,4287,9972479,5269035
39,8,3477,11576684,5269035
26,8,3245,9913065,5269035
27,8,3346,5413479,5269035
31,8,3498,1865279,5269035
49,8,4142,2897640,5269035
32,8,3516,2775970,5269035
40,8,3496,3853214,5269035
55,8,2748,5736754,5269035
41,8,2521,3922468,5269035
19,8,2366,3092997,5269035
47,8,2662,6494340,5269035
18,8,2468,6568713,5269035
25,8,1920,6713315,5269035
24,8,2330,5923188,5269035
34,8,2014,8856972,5269035
15,8,1930,1408243,5269035
30,8,1546,1013569,5269035
22,8,1638,4624527,5269035
45,8,1519,4764080,5269035
16,8,1686,1611206,5269035
1,8,1647,4830081,5269035
21,8,1626,4404659,5269035
46,8,1266,842316,5269035
5,8,1472,2959400,5269035
2,8,1544,737068,5269035
38,8,1442,722036,5269035
9,8,1058,3594841,5269035
28,8,878,2988711,5269035
33,8,588,1326622,5269035
11,8,454,650581,5269035
23,8,449,1328009,5269035
50,8,392,626210,5269035
54,8,387,1853914,5269035
44,8,266,1055081,5269035
10,8,205,923576,5269035
36,9,19062,19624447,3594841
25,9,6264,6713315,3594841
12,9,5624,19545621,3594841
34,9,3401,8856972,3594841
6,9,2938,38260787,3594841
42,9,2186,12776309,3594841
44,9,1787,1055081,3594841
48,9,2092,26480266,3594841
51,9,1976,8252427,3594841
37,9,1675,9843336,3594841
13,9,1397,9972479,3594841
17,9,1143,12895129,3594841
24,9,1024,5923188,3594841
39,9,938,11576684,3594841
33,9,797,1326622,3594841
45,9,874,4764080,3594841
4,9,674,6632764,3594841
8,9,641,5269035,3594841
26,9,673,9913065,3594841
23,9,575,1328009,3594841
53,9,630,6963985,3594841
50,9,513,626210,3594841
47,9,419,6494340,3594841
55,9,407,5736754,3594841
18,9,376,6568713,3594841
11,9,277,650581,3594841
27,9,359,5413479,3594841
29,9,313,6040715,3594841
15,9,321,1408243,3594841
1,9,289,4830081,3594841
10,9,235,923576,3594841
41,9,238,3922468,3594841
32,9,196,2775970,3594841
22,9,196,4624527,3594841
21,9,184,4404659,3594841
49,9,223,2897640,3594841
20,9,210,2893212,3594841
40,9,158,3853214,3594841
19,9,138,3092997,3594841
35,9,130,2092273,3594841
5,9,131,2959400,3594841
2,9,95,737068,3594841
54,9,112,1853914,3594841
16,9,88,1611206,3594841
28,9,73,2988711,3594841
56,9,49,582122,3594841
31,9,60,1865279,3594841
38,9,67,722036,3594841
30,9,37,1013569,3594841
46,9,26,842316,3594841
42,10,7119,12776309,923576
24,10,5740,5923188,923576
34,10,3063,8856972,923576
36,10,1807,19624447,923576
51,10,1507,8252427,923576
12,10,1416,19545621,923576
37,10,819,9843336,923576
48,10,790,26480266,923576
6,10,650,38260787,923576
13,10,510,9972479,923576
39,10,384,11576684,923576
17,10,323,12895129,923576
9,10,303,3594841,923576
45,10,316,4764080,923576
25,10,260,6713315,923576
4,10,272,6632764,923576
8,10,190,5269035,923576
26,10,192,9913065,923576
11,10,156,650581,923576
47,10,198,6494340,923576
29,10,167,6040715,923576
53,10,163,6963985,923576
54,10,147,1853914,923576
1,10,144,4830081,923576
18,10,124,6568713,923576
55,10,154,5736754,923576
22,10,113,4624527,923576
21,10,138,4404659,923576
27,10,90,5413479,923576
40,10,93,3853214,923576
32,10,86,2775970,923576
44,10,82,1055081,923576
33,10,72,1326622,923576
41,10,68,3922468,923576
23,10,74,1328009,923576
5,10,90,2959400,923576
20,10,72,2893212,923576
35,10,70,2092273,923576
28,10,77,2988711,923576
2,10,59,737068,923576
15,10,44,1408243,923576
49,10,55,2897640,923576
19,10,44,3092997,923576
50,10,39,626210,923576
16,10,40,1611206,923576
31,10,36,1865279,923576
46,10,29,842316,923576
38,10,23,722036,923576
24,11,13195,5923188,650581
51,11,7610,8252427,650581
36,11,2266,19624447,650581
6,11,1837,38260787,650581
12,11,1253,19545621,650581
42,11,980,12776309,650581
25,11,931,6713315,650581
48,11,975,26480266,650581
37,11,942,9843336,650581
17,11,784,12895129,650581
13,11,697,9972479,650581
34,11,598,8856972,650581
39,11,420,11576684,650581
9,11,381,3594841,650581
26,11,391,9913065,650581
