"origin_fips","dest_fips","num_migrants","m_i","m_j"
13,1,15067,10178447,4852347
12,1,11350,20209042,4852347
48,1,8154,27470056,4852347
47,1,7195,6591170,4852347
28,1,5727,2988471,4852347
6,1,3202,38918045,4852347
37,1,3216,10031646,4852347
51,1,2940,8361808,4852347
22,1,2540,4664628,4852347
17,1,2299,12858913,4852347
36,1,1955,19654666,4852347
39,1,1992,11617527,4852347
45,1,1861,4891938,4852347
26,1,1560,9931715,4852347
21,1,1815,4425976,4852347
18,1,1422,6608422,4852347
8,1,1491,5450623,4852347
29,1,1271,6071732,4852347
42,1,1225,12784826,4852347
53,1,1191,7163657,4852347
5,1,1015,2978048,4852347
24,1,931,5985562,4852347
4,1,855,6829676,4852347
40,1,1000,3909500,4852347
34,1,715,8867949,4852347
20,1,888,2909011,4852347
55,1,571,5760940,4852347
15,1,646,1422052,4852347
25,1,470,6794228,4852347
2,1,569,737498,4852347
32,1,479,2866939,4852347
19,1,440,3120960,4852347
27,1,376,5482032,4852347
35,1,386,2089291,4852347
9,1,344,3587122,4852347
54,1,370,1842050,4852347
41,1,264,4015792,4852347
31,1,362,1891277,4852347
49,1,331,2981835,4852347
23,1,177,1328262,4852347
38,1,178,754066,4852347
30,1,163,1030475,4852347
16,1,185,1651059,4852347
11,1,140,675400,4852347
33,1,154,1336350,4852347
56,1,145,585613,4852347
46,1,132,853988,4852347
10,1,143,941252,4852347
44,1,101,1056065,4852347
50,1,49,625216,4852347
6,2,2924,38918045,737498
53,2,2673,7163657,737498
48,2,2656,27470056,737498
12,2,1390,20209042,737498
41,2,1238,4015792,737498
8,2,1238,5450623,737498
4,2,1084,6829676,737498
13,2,1095,10178447,737498
37,2,1064,10031646,737498
51,2,898,8361808,737498
15,2,841,1422052,737498
36,2,644,19654666,737498
32,2,555,2866939,737498
16,2,581,1651059,737498
30,2,482,1030475,737498
26,2,417,9931715,737498
49,2,563,2981835,737498
42,2,411,12784826,737498
17,2,433,12858913,737498
27,2,369,5482032,737498
39,2,418,11617527,737498
47,2,480,6591170,737498
29,2,516,6071732,737498
40,2,508,3909500,737498
20,2,539,2909011,737498
1,2,475,4852347,737498
22,2,393,4664628,737498
45,2,373,4891938,737498
55,2,275,5760940,737498
24,2,341,5985562,737498
35,2,346,2089291,737498
25,2,235,6794228,737498
18,2,221,6608422,737498
21,2,282,4425976,737498
56,2,229,585613,737498
5,2,225,2978048,737498
28,2,199,2988471,737498
38,2,190,754066,737498
34,2,167,8867949,737498
46,2,146,853988,737498
31,2,140,1891277,737498
19,2,106,3120960,737498
9,2,84,3587122,737498
23,2,121,1328262,737498
50,2,77,625216,737498
54,2,71,1842050,737498
11,2,50,675400,737498
33,2,52,1336350,737498
44,2,37,1056065,737498
10,2,40,941252,737498
6,4,41883,38918045,6829676
48,4,16054,27470056,6829676
17,4,10626,12858913,6829676
8,4,9782,5450623,6829676
53,4,9221,7163657,6829676
35,4,9074,2089291,6829676
12,4,6413,20209042,6829676
32,4,6144,2866939,6829676
36,4,5412,19654666,6829676
26,4,5114,9931715,6829676
27,4,4509,5482032,6829676
39,4,4404,11617527,6829676
41,4,4403,4015792,6829676
49,4,5554,2981835,6829676
55,4,4046,5760940,6829676
42,4,3669,12784826,6829676
29,4,3428,6071732,6829676
18,4,3184,6608422,6829676
