"origin_fips","dest_fips","num_migrants","m_i","m_j"
13,1,15404,9620846,4757938
12,1,12305,18652644,4757938
47,1,6819,6306019,4757938
48,1,5751,24801761,4757938
28,1,5504,2958774,4757938
6,1,3107,36961229,4757938
37,1,3208,9449566,4757938
51,1,2669,7925937,4757938
22,1,2330,4491648,4757938
26,1,2295,9901591,4757938
39,1,2032,11528896,4757938
36,1,1980,19307066,4757938
17,1,1942,12796778,4757938
21,1,1841,4317074,4757938
45,1,1826,4589872,4757938
18,1,1406,6459325,4757938
29,1,1238,5961088,4757938
8,1,1251,4972195,4757938
53,1,1202,6667426,4757938
42,1,972,12666858,4757938
4,1,1005,6343154,4757938
24,1,897,5730388,4757938
5,1,926,2896843,4757938
20,1,981,2832704,4757938
40,1,874,3717572,4757938
34,1,625,8755602,4757938
55,1,576,5669264,4757938
25,1,448,6517613,4757938
15,1,617,1346717,4757938
32,1,466,2684665,4757938
2,1,528,698895,4757938
19,1,420,3032870,4757938
9,1,327,3561807,4757938
27,1,337,5281203,4757938
49,1,402,2723421,4757938
35,1,344,2036802,4757938
41,1,287,3808600,4757938
54,1,268,1847775,4757938
31,1,229,1812683,4757938
23,1,189,1329590,4757938
33,1,179,1316102,4757938
46,1,154,807067,4757938
16,1,171,1554439,4757938
56,1,144,559851,4757938
11,1,99,592228,4757938
30,1,147,983982,4757938
44,1,136,1053646,4757938
38,1,129,664968,4757938
10,1,113,891730,4757938
50,1,43,624817,4757938
6,2,2959,36961229,698895
53,2,2858,6667426,698895
48,2,2506,24801761,698895
41,2,1539,3808600,698895
12,2,1607,18652644,698895
8,2,1153,4972195,698895
4,2,965,6343154,698895
13,2,1039,9620846,698895
26,2,788,9901591,698895
51,2,876,7925937,698895
37,2,840,9449566,698895
32,2,704,2684665,698895
16,2,705,1554439,698895
27,2,558,5281203,698895
30,2,599,983982,698895
36,2,544,19307066,698895
17,2,552,12796778,698895
15,2,646,1346717,698895
39,2,529,11528896,698895
40,2,649,3717572,698895
49,2,661,2723421,698895
29,2,606,5961088,698895
47,2,564,6306019,698895
55,2,458,5669264,698895
42,2,374,12666858,698895
1,2,534,4757938,698895
45,2,431,4589872,698895
35,2,368,2036802,698895
21,2,414,4317074,698895
22,2,384,4491648,698895
20,2,382,2832704,698895
18,2,301,6459325,698895
24,2,314,5730388,698895
25,2,192,6517613,698895
56,2,249,559851,698895
5,2,243,2896843,698895
34,2,232,8755602,698895
28,2,237,2958774,698895
19,2,190,3032870,698895
23,2,183,1329590,698895
46,2,198,807067,698895
31,2,200,1812683,698895
38,2,169,664968,698895
9,2,105,3561807,698895
33,2,90,1316102,698895
54,2,84,1847775,698895
50,2,73,624817,698895
10,2,66,891730,698895
11,2,48,592228,698895
44,2,41,1053646,698895
6,4,30663,36961229,6343154
48,4,10302,24801761,6343154
53,4,7462,6667426,6343154
17,4,6518,12796778,6343154
8,4,6961,4972195,6343154
32,4,6526,2684665,6343154
35,4,6802,2036802,6343154
26,4,5445,9901591,6343154
12,4,5305,18652644,6343154
36,4,4509,19307066,6343154
39,4,4132,11528896,6343154
49,4,5229,2723421,6343154
41,4,3762,3808600,6343154
27,4,3082,5281203,6343154
42,4,2981,12666858,6343154
55,4,2938,5669264,6343154
18,4,2856,6459325,6343154
37,4,2941,9449566,6343154
29,4,2632,5961088,6343154
51,4,2487,7925937,6343154
13,4,2699,9620846,6343154
34,4,1911,8755602,6343154
19,4,1867,3032870,6343154
16,4,2151,1554439,6343154
20,4,1810,2832704,6343154
47,4,1707,6306019,6343154
25,4,1403,6517613,6343154
40,4,1740,3717572,6343154
15,4,1411,1346717,6343154
31,4,1291,1812683,6343154
24,4,1314,5730388,6343154
30,4,1089,983982,6343154
2,4,1233,698895,6343154
21,4,1079,4317074,6343154
46,4,876,807067,6343154
9,4,904,3561807,6343154
45,4,931,4589872,6343154
56,4,878,559851,6343154
5,4,896,2896843,6343154
1,4,887,4757938,6343154
22,4,841,4491648,6343154
38,4,570,664968,6343154
33,4,558,1316102,6343154
28,4,578,2958774,6343154
23,4,425,1329590,6343154
50,4,236,624817,6343154
44,4,224,1053646,6343154
54,4,220,1847775,6343154
11,4,149,592228,6343154
10,4,198,891730,6343154
48,5,10511,24801761,2896843
29,5,5476,5961088,2896843
40,5,5479,3717572,2896843
6,5,3723,36961229,2896843
47,5,3450,6306019,2896843
12,5,2734,18652644,2896843
22,5,2653,4491648,2896843
17,5,2216,12796778,2896843
28,5,2006,2958774,2896843
13,5,1695,9620846,2896843
20,5,1345,2832704,2896843
37,5,1264,9449566,2896843
26,5,1216,9901591,2896843
4,5,1208,6343154,2896843
8,5,1194,4972195,2896843
18,5,956,6459325,2896843
39,5,896,11528896,2896843
1,5,967,4757938,2896843
51,5,840,7925937,2896843
36,5,725,19307066,2896843
55,5,747,5669264,2896843
53,5,687,6667426,2896843
27,5,609,5281203,2896843
19,5,624,3032870,2896843
21,5,610,4317074,2896843
45,5,550,4589872,2896843
42,5,543,12666858,2896843
32,5,524,2684665,2896843
31,5,494,1812683,2896843
35,5,430,2036802,2896843
34,5,366,8755602,2896843
41,5,380,3808600,2896843
24,5,363,5730388,2896843
49,5,364,2723421,2896843
2,5,278,698895,2896843
25,5,222,6517613,2896843
15,5,276,1346717,2896843
56,5,202,559851,2896843
16,5,213,1554439,2896843
9,5,176,3561807,2896843
30,5,165,983982,2896843
46,5,132,807067,2896843
54,5,107,1847775,2896843
33,5,75,1316102,2896843
38,5,83,664968,2896843
11,5,54,592228,2896843
23,5,48,1329590,2896843
10,5,51,891730,2896843
50,5,48,624817,2896843
44,5,48,1053646,2896843
48,6,33914,24801761,36961229
4,6,29041,6343154,36961229
32,6,26057,2684665,36961229
53,6,24267,6667426,36961229
36,6,18681,19307066,36961229
12,6,18266,18652644,36961229
17,6,14578,12796778,36961229
41,6,14185,3808600,36961229
8,6,13275,4972195,36961229
51,6,13228,7925937,36961229
25,6,8364,6517613,36961229
13,6,9891,9620846,36961229
37,6,10056,9449566,36961229
42,6,7560,12666858,36961229
15,6,8599,1346717,36961229
26,6,8047,9901591,36961229
34,6,7715,8755602,36961229
39,6,7365,11528896,36961229
49,6,9174,2723421,36961229
24,6,5663,5730388,36961229
29,6,5682,5961088,36961229
27,6,5203,5281203,36961229
47,6,5034,6306019,36961229
55,6,4324,5669264,36961229
18,6,4543,6459325,36961229
35,6,4119,2036802,36961229
16,6,4505,1554439,36961229
9,6,3421,3561807,36961229
40,6,4051,3717572,36961229
20,6,3356,2832704,36961229
