"origin_fips","dest_fips","num_migrants","m_i","m_j","origin_lat","origin_lon","dest_lat","dest_lon","distance"
13,1,16158,10410330,4874486,33.75,-84.39,33.52,-86.81,140.406318027275
12,1,13862,20963613,4874486,30.33,-81.66,33.52,-86.81,373.933086744326
47,1,7903,6708799,4874486,36.15,-86.77,33.52,-86.81,181.309208643781
48,1,7303,28295273,4874486,29.73,-95.39,33.52,-86.81,568.950674567609
28,1,5731,2988510,4874486,32.31,-90.2,33.52,-86.81,213.94414460924
6,1,3936,39358497,4874486,34.05,-118.24,33.52,-86.81,1801.9814796342
37,1,3184,10268233,4874486,35.21,-80.84,33.52,-86.81,360.496961818028
51,1,3025,8463587,4874486,36.81,-76.12,33.52,-86.81,645.795828847297
22,1,2695,4670560,4874486,29.98,-90.03,33.52,-86.81,308.869144115519
17,1,2225,12778828,4874486,41.88,-87.63,33.52,-86.81,578.302189337886
36,1,1987,19589572,4874486,40.67,-73.98,33.52,-86.81,861.901651372482
39,1,2017,11659650,4874486,39.96,-82.99,33.52,-86.81,491.947192651864
45,1,1863,5021268,4874486,32.79,-79.94,33.52,-86.81,401.323999596243
26,1,1759,9973114,4874486,42.36,-83.08,33.52,-86.81,642.645996503772
8,1,1890,5611885,4874486,39.74,-104.99,33.52,-86.81,1095.02034006607
21,1,1751,4452268,4874486,38.21,-85.65,33.52,-86.81,329.832212598417
18,1,1523,6658078,4874486,39.77,-86.15,33.52,-86.81,432.518343658294
29,1,1434,6106670,4874486,39.03,-94.56,33.52,-86.81,575.387785230866
53,1,1457,7423362,4874486,47.6,-122.33,33.52,-86.81,2081.66835224925
42,1,1243,12787641,4874486,39.96,-75.15,33.52,-86.81,783.73162477462
24,1,1058,6023868,4874486,39.31,-76.62,33.52,-86.81,693.44059268874
4,1,1021,7044008,4874486,33.45,-112.07,33.52,-86.81,1455.11359932862
5,1,984,3001345,4874486,34.75,-92.29,33.52,-86.81,325.272652996714
40,1,973,3931316,4874486,35.52,-97.5,33.52,-86.81,624.93323943931
20,1,889,2908718,4874486,37.69,-97.33,33.52,-86.81,657.838960830043
34,1,673,8885525,4874486,40.74,-74.18,33.52,-86.81,855.418521420992
55,1,603,5790186,4874486,43.04,-87.91,33.52,-86.81,659.329452339009
25,1,517,6859789,4874486,42.33,-71.08,33.52,-86.81,1049.68157107724
15,1,678,1424393,4874486,21.3,-157.86,33.52,-86.81,4365.06982758836
32,1,554,2969905,4874486,36.17,-115.19,33.52,-86.81,1617.37871214535
19,1,469,3141550,4874486,41.58,-93.61,33.52,-86.81,669.095511090467
27,1,409,5566230,4874486,44.98,-93.27,33.52,-86.81,862.44142119129
2,1,491,739700,4874486,61.22,-149.9,33.52,-86.81,3341.0525437443
35,1,449,2091784,4874486,35.1,-106.66,33.52,-86.81,1138.65347929325
9,1,365,3573297,4874486,41.18,-73.19,33.52,-86.81,915.443487208724
41,1,360,4143625,4874486,45.52,-122.67,33.52,-86.81,2065.45765392866
