"origin_fips","dest_fips","num_migrants","m_i","m_j","origin_lat","origin_lon","dest_lat","dest_lon","distance"
13,1,15067,10178447,4852347,33.75,-84.39,33.52,-86.81,140.406318027275
12,1,11350,20209042,4852347,30.33,-81.66,33.52,-86.81,373.933086744326
48,1,8154,27470056,4852347,29.73,-95.39,33.52,-86.81,568.950674567609
47,1,7195,6591170,4852347,36.15,-86.77,33.52,-86.81,181.309208643781
28,1,5727,2988471,4852347,32.31,-90.2,33.52,-86.81,213.94414460924
6,1,3202,38918045,4852347,34.05,-118.24,33.52,-86.81,1801.9814796342
37,1,3216,10031646,4852347,35.21,-80.84,33.52,-86.81,360.496961818028
51,1,2940,8361808,4852347,36.81,-76.12,33.52,-86.81,645.795828847297
22,1,2540,4664628,4852347,29.98,-90.03,33.52,-86.81,308.869144115519
17,1,2299,12858913,4852347,41.88,-87.63,33.52,-86.81,578.302189337886
36,1,1955,19654666,4852347,40.67,-73.98,33.52,-86.81,861.901651372482
39,1,1992,11617527,4852347,39.96,-82.99,33.52,-86.81,491.947192651864
45,1,1861,4891938,4852347,32.79,-79.94,33.52,-86.81,401.323999596243
26,1,1560,9931715,4852347,42.36,-83.08,33.52,-86.81,642.645996503772
21,1,1815,4425976,4852347,38.21,-85.65,33.52,-86.81,329.832212598417
18,1,1422,6608422,4852347,39.77,-86.15,33.52,-86.81,432.518343658294
8,1,1491,5450623,4852347,39.74,-104.99,33.52,-86.81,1095.02034006607
29,1,1271,6071732,4852347,39.03,-94.56,33.52,-86.81,575.387785230866
42,1,1225,12784826,4852347,39.96,-75.15,33.52,-86.81,783.73162477462
53,1,1191,7163657,4852347,47.6,-122.33,33.52,-86.81,2081.66835224925
5,1,1015,2978048,4852347,34.75,-92.29,33.52,-86.81,325.272652996714
24,1,931,5985562,4852347,39.31,-76.62,33.52,-86.81,693.44059268874
4,1,855,6829676,4852347,33.45,-112.07,33.52,-86.81,1455.11359932862
40,1,1000,3909500,4852347,35.52,-97.5,33.52,-86.81,624.93323943931
34,1,715,8867949,4852347,40.74,-74.18,33.52,-86.81,855.418521420992
