"origin_fips","dest_fips","num_migrants","m_i","m_j","origin_lat","origin_lon","dest_lat","dest_lon","distance"
13,1,19942,10301890,4863525,33.75,-84.39,33.52,-86.81,140.406318027275
12,1,15982,20613477,4863525,30.33,-81.66,33.52,-86.81,373.933086744326
47,1,10236,6646010,4863525,36.15,-86.77,33.52,-86.81,181.309208643781
48,1,9639,27914410,4863525,29.73,-95.39,33.52,-86.81,568.950674567609
28,1,7482,2987938,4863525,32.31,-90.2,33.52,-86.81,213.94414460924
6,1,4494,39167117,4863525,34.05,-118.24,33.52,-86.81,1801.9814796342
37,1,4636,10154788,4863525,35.21,-80.84,33.52,-86.81,360.496961818028
51,1,4323,8410106,4863525,36.81,-76.12,33.52,-86.81,645.795828847297
22,1,3776,4678135,4863525,29.98,-90.03,33.52,-86.81,308.869144115519
17,1,3127,12820527,4863525,41.88,-87.63,33.52,-86.81,578.302189337886
36,1,2543,19633428,4863525,40.67,-73.98,33.52,-86.81,861.901651372482
39,1,2610,11634370,4863525,39.96,-82.99,33.52,-86.81,491.947192651864
45,1,2473,4957968,4863525,32.79,-79.94,33.52,-86.81,401.323999596243
8,1,2566,5539215,4863525,39.74,-104.99,33.52,-86.81,1095.02034006607
26,1,2227,9950571,4863525,42.36,-83.08,33.52,-86.81,642.645996503772
21,1,2292,4438182,4863525,38.21,-85.65,33.52,-86.81,329.832212598417
18,1,2225,6634304,4863525,39.77,-86.15,33.52,-86.81,432.518343658294
29,1,1827,6087135,4863525,39.03,-94.56,33.52,-86.81,575.387785230866
42,1,1757,12782275,4863525,39.96,-75.15,33.52,-86.81,783.73162477462
24,1,1493,6003323,4863525,39.31,-76.62,33.52,-86.81,693.44059268874
53,1,1568,7294771,4863525,47.6,-122.33,33.52,-86.81,2081.66835224925
4,1,1395,6941072,4863525,33.45,-112.07,33.52,-86.81,1455.11359932862
5,1,1414,2989918,4863525,34.75,-92.29,33.52,-86.81,325.272652996714
40,1,1242,3926331,4863525,35.52,-97.5,33.52,-86.81,624.93323943931
20,1,1303,2910844,4863525,37.69,-97.33,33.52,-86.81,657.838960830043
34,1,1003,8870827,4863525,40.74,-74.18,33.52,-86.81,855.418521420992
55,1,913,5772628,4863525,43.04,-87.91,33.52,-86.81,659.329452339009
15,1,990,1427559,4863525,21.3,-157.86,33.52,-86.81,4365.06982758836
25,1,642,6823608,4863525,42.33,-71.08,33.52,-86.81,1049.68157107724
19,1,696,3131371,4863525,41.58,-93.61,33.52,-86.81,669.095511090467
32,1,669,2917563,4863525,36.17,-115.19,33.52,-86.81,1617.37871214535
2,1,779,741456,4863525,61.22,-149.9,33.52,-86.81,3341.0525437443
27,1,552,5522744,4863525,44.98,-93.27,33.52,-86.81,862.44142119129
49,1,672,3041868,4863525,40.77,-111.89,33.52,-86.81,1465.80969143619
54,1,520,1831023,4863525,38.35,-81.63,33.52,-86.81,441.709034098907
35,1,543,2091630,4863525,35.1,-106.66,33.52,-86.81,1138.65347929325
41,1,470,4089976,4863525,45.52,-122.67,33.52,-86.81,2065.45765392866
9,1,457,3578141,4863525,41.18,-73.19,33.52,-86.81,915.443487208724
31,1,434,1905616,4863525,41.26,-96.02,33.52,-86.81,735.16313044024
16,1,244,1682380,4863525,43.62,-116.2,33.52,-86.81,1725.46711497452
33,1,228,1342307,4863525,42.99,-71.45,33.52,-86.81,1057.51361841715
10,1,210,948921,4863525,39.74,-75.55,33.52,-86.81,757.685049068828
11,1,169,685815,4863525,38.89,-77.03,33.52,-86.81,659.494332391888
38,1,212,754434,4863525,46.89,-96.81,33.52,-86.81,1061.38510272291
30,1,223,1040859,4863525,45.79,-108.52,33.52,-86.81,1426.39628341128
23,1,167,1331317,4863525,43.68,-70.3,33.52,-86.81,1132.03573343263
56,1,201,584215,4863525,41.13,-104.82,33.52,-86.81,1119.03586429123
46,1,185,862996,4863525,43.54,-96.73,33.52,-86.81,874.153047706144
44,1,140,1056770,4863525,41.82,-71.41,33.52,-86.81,1017.49675475591
50,1,76,623657,4863525,44.47,-73.21,33.52,-86.81,1049.13136797216
6,2,3271,39167117,741456,34.05,-118.24,61.22,-149.9,2342.514137532
53,2,3265,7294771,741456,47.6,-122.33,61.22,-149.9,1438.39221517614
48,2,3556,27914410,741456,29.73,-95.39,61.22,-149.9,3276.63136969686
12,2,1878,20613477,741456,30.33,-81.66,61.22,-149.9,3693.65568313247
41,2,1405,4089976,741456,45.52,-122.67,61.22,-149.9,1542.94410866454
8,2,1556,5539215,741456,39.74,-104.99,61.22,-149.9,2399.75429017353
4,2,1336,6941072,741456,33.45,-112.07,61.22,-149.9,2547.71191963913
37,2,1542,10154788,741456,35.21,-80.84,61.22,-149.9,3445.60341721239
13,2,1361,10301890,741456,33.75,-84.39,61.22,-149.9,3408.73861586258
51,2,1228,8410106,741456,36.81,-76.12,61.22,-149.9,3513.96132361248
15,2,884,1427559,741456,21.3,-157.86,61.22,-149.9,2781.70071443795
36,2,717,19633428,741456,40.67,-73.98,61.22,-149.9,3373.46470939665
32,2,673,2917563,741456,36.17,-115.19,61.22,-149.9,2296.81530961694
47,2,773,6646010,741456,36.15,-86.77,61.22,-149.9,3195.5078718408
26,2,568,9950571,741456,42.36,-83.08,61.22,-149.9,2983.34840302833
40,2,762,3926331,741456,35.52,-97.5,61.22,-149.9,2876.41941443971
16,2,663,1682380,741456,43.62,-116.2,61.22,-149.9,1837.59955913095
30,2,524,1040859,741456,45.79,-108.52,61.22,-149.9,1963.13240791574
39,2,572,11634370,741456,39.96,-82.99,61.22,-149.9,3113.86601091953
27,2,423,5522744,741456,44.98,-93.27,61.22,-149.9,2508.69410679552
49,2,592,3041868,741456,40.77,-111.89,61.22,-149.9,2126.88101497066
29,2,594,6087135,741456,39.03,-94.56,61.22,-149.9,2778.5180826085
42,2,419,12782275,741456,39.96,-75.15,61.22,-149.9,3373.52935509225
17,2,460,12820527,741456,41.88,-87.63,61.22,-149.9,2857.02158619125
45,2,557,4957968,741456,32.79,-79.94,61.22,-149.9,3611.33022104514
1,2,559,4863525,741456,33.52,-86.81,61.22,-149.9,3341.0525437443
22,2,547,4678135,741456,29.98,-90.03,61.22,-149.9,3436.30413128276
20,2,551,2910844,741456,37.69,-97.33,61.22,-149.9,2760.77692243556
55,2,352,5772628,741456,43.04,-87.91,61.22,-149.9,2787.03232410908
35,2,412,2091630,741456,35.1,-106.66,61.22,-149.9,2610.64955170605
24,2,381,6003323,741456,39.31,-76.62,61.22,-149.9,3360.373023085
21,2,435,4438182,741456,38.21,-85.65,61.22,-149.9,3119.77158800661
