"origin_fips","dest_fips","num_migrants","m_i","m_j","origin_lat","origin_lon","dest_lat","dest_lon","distance"
13,1,15404,9620846,4757938,33.75,-84.39,33.52,-86.81,140.406318027275
12,1,12305,18652644,4757938,30.33,-81.66,33.52,-86.81,373.933086744326
47,1,6819,6306019,4757938,36.15,-86.77,33.52,-86.81,181.309208643781
48,1,5751,24801761,4757938,29.73,-95.39,33.52,-86.81,568.950674567609
28,1,5504,2958774,4757938,32.31,-90.2,33.52,-86.81,213.94414460924
6,1,3107,36961229,4757938,34.05,-118.24,33.52,-86.81,1801.9814796342
37,1,3208,9449566,4757938,35.21,-80.84,33.52,-86.81,360.496961818028
51,1,2669,7925937,4757938,36.81,-76.12,33.52,-86.81,645.795828847297
22,1,2330,4491648,4757938,29.98,-90.03,33.52,-86.81,308.869144115519
26,1,2295,9901591,4757938,42.36,-83.08,33.52,-86.81,642.645996503772
39,1,2032,11528896,4757938,39.96,-82.99,33.52,-86.81,491.947192651864
36,1,1980,19307066,4757938,40.67,-73.98,33.52,-86.81,861.901651372482
17,1,1942,12796778,4757938,41.88,-87.63,33.52,-86.81,578.302189337886
21,1,1841,4317074,4757938,38.21,-85.65,33.52,-86.81,329.832212598417
45,1,1826,4589872,4757938,32.79,-79.94,33.52,-86.81,401.323999596243
18,1,1406,6459325,4757938,39.77,-86.15,33.52,-86.81,432.518343658294
29,1,1238,5961088,4757938,39.03,-94.56,33.52,-86.81,575.387785230866
8,1,1251,4972195,4757938,39.74,-104.99,33.52,-86.81,1095.02034006607
53,1,1202,6667426,4757938,47.6,-122.33,33.52,-86.81,2081.66835224925
42,1,972,12666858,4757938,39.96,-75.15,33.52,-86.81,783.73162477462
4,1,1005,6343154,4757938,33.45,-112.07,33.52,-86.81,1455.11359932862
24,1,897,5730388,4757938,39.31,-76.62,33.52,-86.81,693.44059268874
5,1,926,2896843,4757938,34.75,-92.29,33.52,-86.81,325.272652996714
20,1,981,2832704,4757938,37.69,-97.33,33.52,-86.81,657.838960830043
40,1,874,3717572,4757938,35.52,-97.5,33.52,-86.81,624.93323943931
34,1,625,8755602,4757938,40.74,-74.18,33.52,-86.81,855.418521420992
55,1,576,5669264,4757938,43.04,-87.91,33.52,-86.81,659.329452339009
25,1,448,6517613,4757938,42.33,-71.08,33.52,-86.81,1049.68157107724
15,1,617,1346717,4757938,21.3,-157.86,33.52,-86.81,4365.06982758836
32,1,466,2684665,4757938,36.17,-115.19,33.52,-86.81,1617.37871214535
2,1,528,698895,4757938,61.22,-149.9,33.52,-86.81,3341.0525437443
19,1,420,3032870,4757938,41.58,-93.61,33.52,-86.81,669.095511090467
9,1,327,3561807,4757938,41.18,-73.19,33.52,-86.81,915.443487208724
27,1,337,5281203,4757938,44.98,-93.27,33.52,-86.81,862.44142119129
49,1,402,2723421,4757938,40.77,-111.89,33.52,-86.81,1465.80969143619
