"origin_fips","dest_fips","num_migrants","m_i","m_j","origin_lat","origin_lon","dest_lat","dest_lon","distance"
13,1,19988,9802431,4799069,33.75,-84.39,33.52,-86.81,140.406318027275
12,1,14729,19053237,4799069,30.33,-81.66,33.52,-86.81,373.933086744326
47,1,7576,6399291,4799069,36.15,-86.77,33.52,-86.81,181.309208643781
48,1,6773,25645629,4799069,29.73,-95.39,33.52,-86.81,568.950674567609
28,1,6016,2978731,4799069,32.31,-90.2,33.52,-86.81,213.94414460924
6,1,3451,37638369,4799069,34.05,-118.24,33.52,-86.81,1801.9814796342
37,1,3542,9657592,4799069,35.21,-80.84,33.52,-86.81,360.496961818028
51,1,3264,8101155,4799069,36.81,-76.12,33.52,-86.81,645.795828847297
22,1,2743,4575625,4799069,29.98,-90.03,33.52,-86.81,308.869144115519
36,1,2350,19499241,4799069,40.67,-73.98,33.52,-86.81,861.901651372482
26,1,2099,9882412,4799069,42.36,-83.08,33.52,-86.81,642.645996503772
39,1,2036,11544663,4799069,39.96,-82.99,33.52,-86.81,491.947192651864
17,1,1905,12867454,4799069,41.88,-87.63,33.52,-86.81,578.302189337886
45,1,2108,4671994,4799069,32.79,-79.94,33.52,-86.81,401.323999596243
21,1,2133,4369821,4799069,38.21,-85.65,33.52,-86.81,329.832212598417
18,1,1578,6516528,4799069,39.77,-86.15,33.52,-86.81,432.518343658294
42,1,1231,12745815,4799069,39.96,-75.15,33.52,-86.81,783.73162477462
29,1,1328,6010275,4799069,39.03,-94.56,33.52,-86.81,575.387785230866
8,1,1335,5121108,4799069,39.74,-104.99,33.52,-86.81,1095.02034006607
53,1,1263,6826627,4799069,47.6,-122.33,33.52,-86.81,2081.66835224925
24,1,1065,5839419,4799069,39.31,-76.62,33.52,-86.81,693.44059268874
4,1,1054,6472643,4799069,33.45,-112.07,33.52,-86.81,1455.11359932862
5,1,1080,2940667,4799069,34.75,-92.29,33.52,-86.81,325.272652996714
40,1,989,3788379,4799069,35.52,-97.5,33.52,-86.81,624.93323943931
34,1,811,8828117,4799069,40.74,-74.18,33.52,-86.81,855.418521420992
