"origin_fips","dest_fips","num_migrants","origin_lat","origin_lon","dest_lat","dest_lon","distance"
13,1,17114,33.75,-84.39,33.52,-86.81,140.406318027275
12,1,12189,30.33,-81.66,33.52,-86.81,373.933086744326
47,1,6698,36.15,-86.77,33.52,-86.81,181.309208643781
48,1,6016,29.73,-95.39,33.52,-86.81,568.950674567609
28,1,5498,32.31,-90.2,33.52,-86.81,213.94414460924
6,1,3192,34.05,-118.24,33.52,-86.81,1801.9814796342
37,1,3256,35.21,-80.84,33.52,-86.81,360.496961818028
51,1,3010,36.81,-76.12,33.52,-86.81,645.795828847297
22,1,2480,29.98,-90.03,33.52,-86.81,308.869144115519
36,1,1924,40.67,-73.98,33.52,-86.81,861.901651372482
39,1,2069,39.96,-82.99,33.52,-86.81,491.947192651864
26,1,2051,42.36,-83.08,33.52,-86.81,642.645996503772
17,1,1846,41.88,-87.63,33.52,-86.81,578.302189337886
45,1,1881,32.79,-79.94,33.52,-86.81,401.323999596243
21,1,1855,38.21,-85.65,33.52,-86.81,329.832212598417
18,1,1446,39.77,-86.15,33.52,-86.81,432.518343658294
29,1,1265,39.03,-94.56,33.52,-86.81,575.387785230866
5,1,1096,34.75,-92.29,33.52,-86.81,325.272652996714
4,1,1248,33.45,-112.07,33.52,-86.81,1455.11359932862
42,1,1066,39.96,-75.15,33.52,-86.81,783.73162477462
8,1,1125,39.74,-104.99,33.52,-86.81,1095.02034006607
53,1,1092,47.6,-122.33,33.52,-86.81,2081.66835224925
24,1,953,39.31,-76.62,33.52,-86.81,693.44059268874
40,1,878,35.52,-97.5,33.52,-86.81,624.93323943931
20,1,794,37.69,-97.33,33.52,-86.81,657.838960830043
34,1,682,40.74,-74.18,33.52,-86.81,855.418521420992
55,1,562,43.04,-87.91,33.52,-86.81,659.329452339009
15,1,602,21.3,-157.86,33.52,-86.81,4365.06982758836
25,1,442,42.33,-71.08,33.52,-86.81,1049.68157107724
32,1,503,36.17,-115.19,33.52,-86.81,1617.37871214535
2,1,578,61.22,-149.9,33.52,-86.81,3341.0525437443
27,1,405,44.98,-93.27,33.52,-86.81,862.44142119129
19,1,420,41.58,-93.61,33.52,-86.81,669.095511090467
49,1,447,40.77,-111.89,33.52,-86.81,1465.80969143619
9,1,362,41.18,-73.19,33.52,-86.81,915.443487208724
35,1,399,35.1,-106.66,33.52,-86.81,1138.65347929325
41,1,312,45.52,-122.67,33.52,-86.81,2065.45765392866
31,1,313,41.26,-96.02,33.52,-86.81,735.16313044024
54,1,286,38.35,-81.63,33.52,-86.81,441.709034098907
16,1,237,43.62,-116.2,33.52,-86.81,1725.46711497452
33,1,146,42.99,-71.45,33.52,-86.81,1057.51361841715
56,1,156,41.13,-104.82,33.52,-86.81,1119.03586429123
23,1,139,43.68,-70.3,33.52,-86.81,1132.03573343263
46,1,146,43.54,-96.73,33.52,-86.81,874.153047706144
44,1,120,41.82,-71.41,33.52,-86.81,1017.49675475591
11,1,79,38.89,-77.03,33.52,-86.81,659.494332391888
38,1,111,46.89,-96.81,33.52,-86.81,1061.38510272291
10,1,150,39.74,-75.55,33.52,-86.81,757.685049068828
30,1,109,45.79,-108.52,33.52,-86.81,1426.39628341128
50,1,46,44.47,-73.21,33.52,-86.81,1049.13136797216
53,2,2817,47.6,-122.33,61.22,-149.9,1438.39221517614
6,2,2817,34.05,-118.24,61.22,-149.9,2342.514137532
48,2,2636,29.73,-95.39,61.22,-149.9,3276.63136969686
12,2,1705,30.33,-81.66,61.22,-149.9,3693.65568313247
41,2,1464,45.52,-122.67,61.22,-149.9,1542.94410866454
8,2,1033,39.74,-104.99,61.22,-149.9,2399.75429017353
4,2,1035,33.45,-112.07,61.22,-149.9,2547.71191963913
13,2,1164,33.75,-84.39,61.22,-149.9,3408.73861586258
37,2,1016,35.21,-80.84,61.22,-149.9,3445.60341721239
51,2,940,36.81,-76.12,61.22,-149.9,3513.96132361248
36,2,613,40.67,-73.98,61.22,-149.9,3373.46470939665
16,2,679,43.62,-116.2,61.22,-149.9,1837.59955913095
26,2,603,42.36,-83.08,61.22,-149.9,2983.34840302833
17,2,557,41.88,-87.63,61.22,-149.9,2857.02158619125
27,2,530,44.98,-93.27,61.22,-149.9,2508.69410679552
15,2,625,21.3,-157.86,61.22,-149.9,2781.70071443795
32,2,583,36.17,-115.19,61.22,-149.9,2296.81530961694
30,2,523,45.79,-108.52,61.22,-149.9,1963.13240791574
49,2,660,40.77,-111.89,61.22,-149.9,2126.88101497066
42,2,437,39.96,-75.15,61.22,-149.9,3373.52935509225
29,2,603,39.03,-94.56,61.22,-149.9,2778.5180826085
39,2,481,39.96,-82.99,61.22,-149.9,3113.86601091953
40,2,604,35.52,-97.5,61.22,-149.9,2876.41941443971
55,2,424,43.04,-87.91,61.22,-149.9,2787.03232410908
1,2,620,33.52,-86.81,61.22,-149.9,3341.0525437443
47,2,468,36.15,-86.77,61.22,-149.9,3195.5078718408
45,2,442,32.79,-79.94,61.22,-149.9,3611.33022104514
35,2,374,35.1,-106.66,61.22,-149.9,2610.64955170605
18,2,329,39.77,-86.15,61.22,-149.9,3018.66614279706
22,2,408,29.98,-90.03,61.22,-149.9,3436.30413128276
20,2,424,37.69,-97.33,61.22,-149.9,2760.77692243556
21,2,424,38.21,-85.65,61.22,-149.9,3119.77158800661
24,2,364,39.31,-76.62,61.22,-149.9,3360.373023085
25,2,220,42.33,-71.08,61.22,-149.9,3378.20345539015
34,2,212,40.74,-74.18,61.22,-149.9,3363.14577401594
56,2,227,41.13,-104.82,61.22,-149.9,2329.01245545752
31,2,252,41.26,-96.02,61.22,-149.9,2610.15213329993
5,2,243,34.75,-92.29,61.22,-149.9,3090.30092039021
19,2,181,41.58,-93.61,61.22,-149.9,2673.29736664769
38,2,186,46.89,-96.81,61.22,-149.9,2295.40042790403
46,2,171,43.54,-96.73,61.22,-149.9,2466.91676441938
9,2,133,41.18,-73.19,61.22,-149.9,3371.72315934909
28,2,186,32.31,-90.2,61.22,-149.9,3297.22350983402
23,2,162,43.68,-70.3,61.22,-149.9,3331.04935198236
50,2,77,44.47,-73.21,61.22,-149.9,3196.0759645283
54,2,99,38.35,-81.63,61.22,-149.9,3246.28298140874
33,2,77,42.99,-71.45,61.22,-149.9,3330.97727152219
10,2,64,39.74,-75.55,61.22,-149.9,3372.30360343904
11,2,39,38.89,-77.03,61.22,-149.9,3369.67104494431
44,2,34,41.82,-71.41,61.22,-149.9,3394.97938670765
6,4,30618,34.05,-118.24,33.45,-112.07,357.567045514862
48,4,11024,29.73,-95.39,33.45,-112.07,1015.2591342086
53,4,7905,47.6,-122.33,33.45,-112.07,1113.56169326351
