"","1","2","4","5","6","8","9","10","11","12","13","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","44","45","46","47","48","49","50","51","53","54","55","56"
"1",0,197098237,156126857,15947751,161887797,172922195,176946492,176946492,176946492,45311073,10178447,170655769,194471437,80788816,82967766,94789984,102800089,64054220,7653099,176946492,176946492,176946492,159120242,94674038,10631147,73240742,189806809,97909750,168496219,176946492,176946492,148963200,176946492,78825004,101396223,137118269,71574368,195208935,176946492,176946492,55514931,102733635,11017146,44919714,172922195,162219482,158326639,190544307,136249267,90358789,168257567
"2",314360764,0,314360764,314360764,249023020,314360764,314360764,314360764,314360764,314360764,314360764,54386485,207229432,314360764,314360764,314360764,314360764,314360764,314360764,314360764,314360764,314360764,314360764,314360764,314360764,314360764,314360764,314360764,303845859,314360764,314360764,314360764,314360764,314360764,314360764,314360764,314360764,98575571,314360764,314360764,314360764,314360764,314360764,314360764,314360764,314360764,314360764,85473379,314360764,314360764,314360764
"4",256025939,72491622,0,243855343,41784984,27773345,260658833,259007774,259007774,254995464,259007774,56775042,64664038,260658833,259007774,250885284,151876442,259007774,243855343,260658833,259007774,260658833,260658833,260658833,253667202,215757916,48918350,168569050,41784984,260658833,259007774,2089291,259007774,259007774,223124614,259007774,124472840,64664038,259007774,260658833,259007774,164234547,259007774,166828945,16655835,260658833,259007774,64664038,259007774,260658833,41648401
"5",27400764,135895111,116688569,0,120563595,48478077,191516003,191516003,182913011,95441713,87027365,128205177,98575571,77056702,92017546,50220841,17902480,82824854,38101203,198098595,186033971,197587735,177135487,88823465,7653099,17902480,117195424,49648655,120563595,194599264,191516003,105509120,191516003,170676578,86244605,159449350,12890243,105074009,191516003,191516003,157817665,57287552,32624113,35123155,98575571,198098595,182913011,117932922,181584749,77810768,48478077
"6",302443817,21786934,11785906,302443817,0,51456125,313623266,309607474,302443817,302443817,302443817,1422052,25745993,309607474,302443817,302443817,246409133,302443817,300792758,313623266,302443817,313623266,313623266,313623266,302443817,302443817,59657526,301115555,2866939,313623266,313623266,27622488,313623266,302443817,313623266,302443817,237106073,19709757,309607474,313623266,302443817,313623266,302443817,257542900,23485511,313623266,302443817,19709757,302443817,313623266,57217065
"8",244162622,60704979,53685786,172738112,59352637,0,246076497,246076497,246076497,245490884,245490884,69706319,20295370,218606441,246076497,86350890,21734516,246076497,190791425,246076497,246076497,246076497,246076497,83372842,190791425,67204506,6248982,44198032,55336845,246076497,246076497,8918967,246076497,245490884,41319007,246076497,51339055,59213415,246076497,246076497,245490884,40288532,245490884,111556654,8085446,246076497,246076497,59213415,246076497,198397399,585613
"9",228146074,216214270,302483145,237025667,303845859,303108361,0,48909655,59113513,198146634,219918777,305267911,303845859,172289692,175802348,241663193,291303696,200676018,236271601,11140121,57271463,10514905,118578014,176065721,237025667,247867653,282899319,253010867,303108361,11140121,28522615,302483145,28522615,150174989,226711736,140705391,291303696,303845859,48909655,9186643,154839617,232801825,228146074,289652637,303108361,11140121,69145159,275275009,145597329,172289692,303108361
"10",176915491,217155522,257588582,192131104,258326080,249226774,54081206,0,6660962,102991387,125782015,251386324,229755230,111510134,109981540,162680626,207491088,115861977,185340802,56034684,6660962,56034684,59706505,125474816,183251511,187781606,224751010,176053299,257588582,56034684,44894563,257588582,44894563,85751818,132822217,76329321,246409133,225488508,12784826,56034684,85751818,174028300,149445435,205840029,249226774,56034684,15022770,225488508,66071276,111510134,249226774
"11",164976440,212627148,242299960,176842482,242299960,242299960,62961498,19711640,0,74860576,96064573,244459510,217936478,104583320,92692946,152771977,192202466,83500254,169988677,62961498,5985562,62961498,53045543,108516356,170842665,160645750,217198980,155753812,242299960,62961498,59671670,242299960,59671670,35305889,115238541,47284603,192202466,217936478,48234255,62961498,56190331,157404871,125447025,195015801,242299960,62961498,8361808,217936478,27917199,83697827,217198980
"12",62067428,315782816,236732622,146981804,236732622,236732622,156737450,156737450,156737450,0,51902243,238892172,249964272,211241943,196011390,217796189,184984069,148855845,75079862,156737450,156737450,156737450,203996077,253829157,83415338,180854792,303108361,211914106,236732622,156737450,156737450,236732622,156737450,40407265,274705221,196259473,182117130,272242263,156737450,156737450,14923584,253010867,121650665,99497609,236732622,185549484,122964527,303845859,165806371,218606441,248285522
"13",10178447,267623754,183100642,72187039,183100642,204649884,139967833,121347980,121347980,25100980,0,195191907,206491934,90967263,62757673,106810481,117643164,43944058,48279650,146559003,121347980,139967833,141091502,107840956,27400764,132438487,206491934,137400303,183100642,146559003,139967833,183100642,139967833,16765634,114563141,98417207,116889098,207229432,134206893,139967833,35132626,112912082,21195593,67761063,204649884,146559003,98428389,207229432,67012528,110568882,204649884
"15",315782816,95403569,315782816,315782816,305267911,315782816,315782816,315782816,315782816,315782816,315782816,0,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816,315782816
"16",263525772,11916947,59722022,263525772,53685786,40590920,253829157,260658833,260658833,263525772,263525772,55123983,0,253829157,260658833,252536343,191527066,263525772,302443817,253829157,260658833,253829157,253829157,232291853,263525772,253010867,4597923,170220109,53685786,253829157,260658833,103004073,260658833,263525772,97903114,260658833,191527066,11179449,260658833,253829157,263525772,142033197,263525772,291303696,2981835,253829157,260658833,11179449,260658833,253829157,31648371
"17",133428066,102586561,143267944,96666611,142437714,123605166,121347980,131526427,138117597,194559512,114909048,144597264,107314559,0,11034398,23180929,65800602,31085145,143367537,122216982,138117597,121347980,21549242,17863263,143367537,21734516,104336511,30753506,142437714,116456042,121347980,136104287,121347980,163033902,25551083,34425690,100949711,108052057,121347980,121347980,170676578,27429619,70120670,139339151,134784615,107759360,171185552,105074009,94867739,5760940,96135110
"18",73567788,129286689,168496219,81916421,168496219,143468342,110313582,114739558,114739558,102050135,72431790,164047347,147643528,18619853,0,39702919,91011625,4425976,113928087,105421644,114739558,105421644,34408155,36793908,99004503,45836401,120173472,52626703,161887797,105421644,110313582,161332562,110313582,92360240,46769630,23391292,82608766,148381026,114739558,110313582,105145066,50679130,27804015,106106031,150631999,95389998,145127047,120910970,28592599,18619853,147643528
"19",168097400,83301866,119666617,75307999,117442635,37469960,185549484,180067452,186033971,224860059,180990529,119602185,89382879,51203493,59636713,0,14781520,89609685,130508624,185549484,183055923,185549484,136634192,7090086,130508624,10872020,36816647,1891277,89972579,185549484,185549484,108487168,185549484,196770331,8981363,148718289,45229624,85473379,180067452,185549484,224240387,8227297,124771625,79288567,89972579,165340442,190698599,86210877,184705709,40642022,28527411
"20",158540100,86422826,66313056,25447932,77492505,11107362,208660705,208660705,207906639,227769070,216331655,79652055,77082336,103907920,139783111,36039842,0,172670742,107319665,208660705,207906639,208660705,183787035,53334045,92396081,7963009,39937607,11937957,77492505,208660705,208660705,24713477,208660705,229040675,38409996,203242011,3909500,77082336,208660705,208660705,231058898,18174055,128356036,42010703,74436993,203996077,207052651,82564368,207052651,80788816,14883102
"21",31826740,150490686,172922195,62008592,172922195,163831591,116922004,110313582,108985320,74185176,56328219,175081745,157240421,35159990,6608422,53198889,98374113,0,83415338,112030066,110313582,116922004,48619567,56243056,63206296,59035993,126781894,59235125,172922195,112030066,116922004,172922195,116922004,35981289,67219267,29999714,76000344,157977919,110313582,116922004,73193039,60265600,6591170,76167607,163831591,130649919,108606836,164921163,13459577,55380509,163831591
"22",24422716,272288382,132012146,30112560,132012146,168257567,204997628,202252363,202252363,56566871,65823368,134171696,178189282,183182608,200676018,150007286,107464717,160893782,0,205751694,202252363,205751694,212570205,180730349,2988471,137103115,196313487,145046766,132012146,205751694,204143640,120832697,204143640,167698530,216294938,207906639,60318570,190544307,202252363,205751694,112798165,146697825,79677236,27470056,168257567,208660705,187577639,195208935,196770331,192946776,182853910
"23",246076497,195769975,313623266,261874713,315782816,313623266,61633236,72512494,113411296,232950175,239286195,315782816,314360764,212570205,212570205,260658833,313623266,240040261,257977299,0,104093382,9186643,166520236,233620115,254995464,263525772,313623266,302443817,314360764,8130578,62308636,313623266,62308636,193649371,249604241,199479012,313623266,314360764,70670444,12773765,187577639,274705221,240040261,302443817,313623266,1961566,143798785,306510471,186033971,188282148,313623266
"24",174082962,203083799,248285522,191189852,248285522,248285522,55022458,13726078,675400,92463665,102050135,250445072,223922040,110568882,98678508,158757539,198188028,106558917,175974239,56975936,0,56975936,53720943,114501918,182310259,186840354,223184542,161739374,248285522,56975936,46891880,248285522,46891880,84810566,121224103,60312113,198188028,223922040,42248693,56975936,68767063,170220109,142703406,203868302,248285522,56975936,9037208,223922040,35201021,84373227,228076480
